Episode,Score,Record,Total Score,Mean Score,Epsilon,Loss
1,0,0,0,0.0,80,
2,0,0,0,0.0,79,
3,0,0,0,0.0,78,
4,0,0,0,0.0,77,
5,0,0,0,0.0,76,
6,0,0,0,0.0,75,
7,1,1,1,0.14285714285714285,74,
8,0,1,1,0.125,73,
9,0,1,1,0.1111111111111111,72,
10,0,1,1,0.1,71,
11,0,1,1,0.09090909090909091,70,
12,0,1,1,0.08333333333333333,69,
13,0,1,1,0.07692307692307693,68,
14,0,1,1,0.07142857142857142,67,
15,1,1,2,0.13333333333333333,66,
16,1,1,3,0.1875,65,
17,0,1,3,0.17647058823529413,64,
18,1,1,4,0.2222222222222222,63,
19,0,1,4,0.21052631578947367,62,
20,0,1,4,0.2,61,
21,0,1,4,0.19047619047619047,60,
22,1,1,5,0.22727272727272727,59,
