Episode,Score,Record,Total Score,Mean Score,Epsilon,Loss
1,0,0,0,0.0,80,
2,0,0,0,0.0,79,
3,0,0,0,0.0,78,
4,0,0,0,0.0,77,
5,0,0,0,0.0,76,
6,0,0,0,0.0,75,
7,0,0,0,0.0,74,
8,0,0,0,0.0,73,
9,0,0,0,0.0,72,
10,0,0,0,0.0,71,
11,0,0,0,0.0,70,
12,0,0,0,0.0,69,
13,0,0,0,0.0,68,
14,0,0,0,0.0,67,
15,1,1,1,0.06666666666666667,66,
16,0,1,1,0.0625,65,
17,0,1,1,0.058823529411764705,64,
18,0,1,1,0.05555555555555555,63,
19,1,1,2,0.10526315789473684,62,
20,0,1,2,0.1,61,
21,0,1,2,0.09523809523809523,60,
22,1,1,3,0.13636363636363635,59,
23,0,1,3,0.13043478260869565,58,
24,0,1,3,0.125,57,
25,1,1,4,0.16,56,
26,0,1,4,0.15384615384615385,55,
27,0,1,4,0.14814814814814814,54,
28,0,1,4,0.14285714285714285,53,
29,0,1,4,0.13793103448275862,52,
30,0,1,4,0.13333333333333333,51,
31,0,1,4,0.12903225806451613,50,
32,0,1,4,0.125,49,
33,0,1,4,0.12121212121212122,48,
34,0,1,4,0.11764705882352941,47,
35,1,1,5,0.14285714285714285,46,
36,0,1,5,0.1388888888888889,45,
37,0,1,5,0.13513513513513514,44,
38,1,1,6,0.15789473684210525,43,
39,0,1,6,0.15384615384615385,42,
40,0,1,6,0.15,41,
41,0,1,6,0.14634146341463414,40,
42,0,1,6,0.14285714285714285,39,
43,0,1,6,0.13953488372093023,38,
44,1,1,7,0.1590909090909091,37,
45,0,1,7,0.15555555555555556,36,
46,1,1,8,0.17391304347826086,35,
47,0,1,8,0.1702127659574468,34,
