Episode,Score,Record,Total Score,Mean Score,Epsilon,Loss
1,0,0,0,0.0,80,1.2346949645039633
2,0,0,0,0.0,79,1.1984166848170834
3,1,1,1,0.3333333333333333,78,0.7579616427065048
4,0,1,1,0.25,77,0.6206409440563895
5,0,1,1,0.2,76,0.37219853646577467
6,0,1,1,0.16666666666666666,75,0.20357598950912587
7,1,1,2,0.2857142857142857,74,0.29660179549014964
8,1,1,3,0.375,73,1.8860379136406267
9,0,1,3,0.3333333333333333,72,0.6117459825865403
10,1,1,4,0.4,71,0.6650179115458252
11,0,1,4,0.36363636363636365,70,0.17066030974830568
12,0,1,4,0.3333333333333333,69,0.1632143048768488
13,0,1,4,0.3076923076923077,68,0.14811916181288662
14,0,1,4,0.2857142857142857,67,0.08049248542260103
15,0,1,4,0.26666666666666666,66,0.5325492649907686
16,1,1,5,0.3125,65,0.6559916265902722
17,0,1,5,0.29411764705882354,64,0.16325028220600862
18,0,1,5,0.2777777777777778,63,0.24253279031992342
19,0,1,5,0.2631578947368421,62,0.4164456359289324
20,0,1,5,0.25,61,0.11346111760777065
21,1,1,6,0.2857142857142857,60,1.208621745985837
22,0,1,6,0.2727272727272727,59,0.12460301766365613
23,0,1,6,0.2608695652173913,58,0.42806606975195866
24,0,1,6,0.25,57,0.2274038107199077
25,0,1,6,0.24,56,0.056911065879931166
26,0,1,6,0.23076923076923078,55,0.7456443656265037
27,1,1,7,0.25925925925925924,54,0.32536174054581113
28,0,1,7,0.25,53,0.08157957820722639
29,0,1,7,0.2413793103448276,52,0.0742075564581596
30,1,1,8,0.26666666666666666,51,0.135241509044481
31,0,1,8,0.25806451612903225,50,0.17286327053720896
32,2,2,10,0.3125,49,0.8754803524381575
33,0,2,10,0.30303030303030304,48,0.675105028861708
34,1,2,11,0.3235294117647059,47,0.3054784781178078
35,0,2,11,0.3142857142857143,46,0.5678803323654752
36,0,2,11,0.3055555555555556,45,0.24296592345042603
37,0,2,11,0.2972972972972973,44,0.09594949192355733
38,0,2,11,0.2894736842105263,43,0.035828212015912346
39,0,2,11,0.28205128205128205,42,0.277655147762929
40,0,2,11,0.275,41,0.06301613410361379
41,0,2,11,0.2682926829268293,40,0.35087917152481113
42,2,2,13,0.30952380952380953,39,0.9210195762498352
43,0,2,13,0.3023255813953488,38,0.1971087765225949
44,0,2,13,0.29545454545454547,37,0.15231088784290478
45,0,2,13,0.28888888888888886,36,0.05811885495772003
46,0,2,13,0.2826086956521739,35,0.24196533363179437
47,0,2,13,0.2765957446808511,34,0.15018683842474842
48,0,2,13,0.2708333333333333,33,0.029511668492110028
49,0,2,13,0.2653061224489796,32,0.17339643475763297
50,1,2,14,0.28,31,0.31621888900590717
51,0,2,14,0.27450980392156865,30,0.12712496008820579
52,1,2,15,0.28846153846153844,29,0.39764141763928146
53,0,2,15,0.2830188679245283,28,0.09596561546601191
54,0,2,15,0.2777777777777778,27,0.057028762666463576
55,1,2,16,0.2909090909090909,26,0.5256501477661266
56,1,2,17,0.30357142857142855,25,0.6094834314340551
57,0,2,17,0.2982456140350877,24,0.03419004869938159
58,0,2,17,0.29310344827586204,23,0.12376582069971066
59,0,2,17,0.288135593220339,22,0.05711760934911111
60,2,2,19,0.31666666666666665,21,0.5027601056981139
61,2,2,21,0.3442622950819672,20,0.43050170216912736
62,1,2,22,0.3548387096774194,19,0.9683384987214539
63,1,2,23,0.36507936507936506,18,0.6613613546541717
64,1,2,24,0.375,17,0.8824694728064947
65,1,2,25,0.38461538461538464,16,0.15618433869845322
66,0,2,25,0.3787878787878788,15,0.1642656936020962
67,1,2,26,0.3880597014925373,14,0.17299063334285952
68,2,2,28,0.4117647058823529,13,0.8029601608940499
69,1,2,29,0.42028985507246375,12,0.5148736820267151
70,1,2,30,0.42857142857142855,11,0.6574001665238304
71,1,2,31,0.43661971830985913,10,1.5389983193519101
72,1,2,32,0.4444444444444444,9,0.5253156080698106
73,2,2,34,0.4657534246575342,8,0.7279043313752407
74,6,6,40,0.5405405405405406,7,0.43905555347614766
75,5,6,45,0.6,6,0.41329150304083595
76,0,6,45,0.5921052631578947,5,0.04042905902463838
77,2,6,47,0.6103896103896104,4,0.3553953029701958
78,5,6,52,0.6666666666666666,3,1.2228480874845242
79,11,11,63,0.7974683544303798,2,0.19072320316640995
80,0,11,63,0.7875,1,0.07737174227452542
81,1,11,64,0.7901234567901234,0,0.6332884313344109
82,3,11,67,0.8170731707317073,-1,0.13503057264382826
83,0,11,67,0.8072289156626506,-2,0.07513400511314429
84,3,11,70,0.8333333333333334,-3,0.20514904134141182
85,1,11,71,0.8352941176470589,-4,2.423993593205523
86,3,11,74,0.8604651162790697,-5,0.21958129166770207
87,0,11,74,0.8505747126436781,-6,0.0940276794347127
88,0,11,74,0.8409090909090909,-7,1.0270107201533392
89,0,11,74,0.8314606741573034,-8,0.07417653554490353
90,2,11,76,0.8444444444444444,-9,0.7930762128846273
91,0,11,76,0.8351648351648352,-10,0.07334371806158271
92,1,11,77,0.8369565217391305,-11,1.2358103326904322
93,0,11,77,0.8279569892473119,-12,0.07364072387404416
94,0,11,77,0.8191489361702128,-13,0.09021949099927164
95,0,11,77,0.8105263157894737,-14,0.07510045113143977
96,1,11,78,0.8125,-15,1.1499202671227375
97,0,11,78,0.8041237113402062,-16,0.08184234386967931
98,0,11,78,0.7959183673469388,-17,0.07608088242303174
99,1,11,79,0.797979797979798,-18,0.5708546291943526
100,1,11,80,0.8,-19,0.11972963903276125
101,1,11,81,0.801980198019802,-20,0.8097348997848303
102,0,11,81,0.7941176470588235,-21,0.09309813186232146
103,1,11,82,0.7961165048543689,-22,0.9326902707107365
104,0,11,82,0.7884615384615384,-23,1.1820214322822935
105,1,11,83,0.7904761904761904,-24,0.4224361055562579
106,0,11,83,0.7830188679245284,-25,0.7691142849232021
107,4,11,87,0.8130841121495327,-26,0.9914395868503161
108,1,11,88,0.8148148148148148,-27,0.7466339793405495
109,5,11,93,0.8532110091743119,-28,1.3451305710857817
110,31,31,124,1.1272727272727272,-29,0.3649637797974106
111,15,31,139,1.2522522522522523,-30,0.2816635418366518
112,3,31,142,1.2678571428571428,-31,0.3234061225136774
113,17,31,159,1.407079646017699,-32,0.4817863995872285
114,12,31,171,1.5,-33,0.45601256915015936
115,1,31,172,1.4956521739130435,-34,0.32450515956309967
116,1,31,173,1.4913793103448276,-35,0.30100871602199053
117,0,31,173,1.4786324786324787,-36,0.08737158297971567
118,6,31,179,1.5169491525423728,-37,0.14427452565806578
119,0,31,179,1.504201680672269,-38,0.11091040785395624
120,1,31,180,1.5,-39,0.8113533529926362
