Episode,Score,Record,Total Score,Mean Score,Epsilon,Loss
1,0,0,0,0.0,80,
2,0,0,0,0.0,79,
3,0,0,0,0.0,78,
4,0,0,0,0.0,77,
5,0,0,0,0.0,76,
6,0,0,0,0.0,75,
7,0,0,0,0.0,74,
8,1,1,1,0.125,73,
9,0,1,1,0.1111111111111111,72,
10,0,1,1,0.1,71,
11,0,1,1,0.09090909090909091,70,
12,1,1,2,0.16666666666666666,69,
13,0,1,2,0.15384615384615385,68,
14,0,1,2,0.14285714285714285,67,
15,1,1,3,0.2,66,
16,1,1,4,0.25,65,
17,0,1,4,0.23529411764705882,64,
18,0,1,4,0.2222222222222222,63,
19,0,1,4,0.21052631578947367,62,
